"id";"sido";"gugun";"gubun";"Type";"year_code"
1507;"서울특별시";"성북구";2;"신호";17
1508;"서울특별시";"용산구";2;"신호";16
1509;"서울특별시";"은평구";2;"신호";16
1510;"서울특별시";"은평구";2;"신호";16
1511;"서울특별시";"중랑구";2;"신호";16
1512;"서울특별시";"강남구";1;"과속";16
1513;"서울특별시";"영등포구";2;"신호";16
1514;"서울특별시";"용산구";1;"과속";16
1515;"서울특별시";"노원구";1;"과속";16
1516;"서울특별시";"송파구";2;"신호";16
1517;"서울특별시";"광진구";2;"신호";16
1518;"서울특별시";"중구";1;"과속";16
1519;"서울특별시";"구로구";1;"과속";16
1520;"서울특별시";"서초구";2;"신호";16
1521;"서울특별시";"강남구";2;"신호";16
1522;"서울특별시";"강남구";2;"신호";16
1523;"서울특별시";"강남구";2;"신호";16
