id,가변전광표지판명,sido,gugun,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,year_code
380,국도 반포(고속TM),서울특별시,서초구,11650,5,사평대로,,2.0,37.503056,127.017778,6000,1200,7000.0,2200.0,8500.0,2,2,1,빨간색+노란색+녹색,2,2단10열,5
381,국도 강일IC(88대로),서울특별시,강동구,11740,3,올림픽대로,88번,2.0,37.568172,127.15404199999999,6000,1200,6400.0,1600.0,8000.0,2,2,1,빨간색+노란색+녹색,2,2단10열,9
382,판교구리방향 강일IC,서울특별시,강동구,11740,1,서울외곽순환고속도로,100번,2.0,37.554803,127.17678899999999,9000,1800,9400.0,2200.0,8000.0,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,3단15열,18
383,국도 상일IC(천호대교),서울특별시,강동구,11740,3,천호대로,50번,2.0,37.539522,127.155603,6000,1200,6400.0,1600.0,8000.0,2,2,1,빨간색+노란색+녹색,2,2단10열,9
384,판교구리방향 서하남,서울특별시,송파구,11710,1,서울외곽순환고속도로,100번,2.0,37.490756,127.137667,9000,1800,9400.0,2200.0,8000.0,1,2,1,빨간색+노란색+녹색,2,3단15열,9
385,국도 송파IC(장지역),서울특별시,송파구,11710,3,송파대로,71번,1.0,37.480672,127.12498899999999,6000,1200,6400.0,1600.0,8000.0,2,2,1,빨간색+노란색+녹색,2,2단10열,9
386,국도 송파IC(헌릉로),서울특별시,강남구,11680,3,헌릉로,,2.0,37.464953,127.11183899999999,6000,1200,6400.0,1600.0,8000.0,2,2,1,빨간색+노란색+녹색,2,2단10열,14
387,서울방향 금토양재2(LCS),서울특별시,서초구,11650,고속,경부고속도로,1번,2.0,37.440302,127.060505,3000,600,4000.0,1600.0,8500.0,2,2,1,모든 색상,2,1단10열,18
388,중랑-남구리,서울특별시,중랑구,11260,1,구리포천고속도로,29번,1.0,37.361785999999995,127.65258999999999,6000,1200,6400.0,1600.0,4500.0,1,2,1,빨간색+노란색+녹색,2,2단10열,17
389,미사IC,서울특별시,강동구,11740,1,서울양양고속도로,60번,2.0,37.576389,127.171944,16000,3000,17000.0,3600.0,7600.0,1,2,1,빨간색+노란색+녹색,2,3단16열,9
390,헌릉IC 하,서울특별시,강남구,11680,1,용인서울고속도로,171번,2.0,37.274642,127.053528,6000,1200,6600.0,1600.0,6600.0,2,2,1,빨간색+노란색+녹색,2,2단10열,9
391,불암터널퇴계원,서울특별시,노원구,11350,1,외곽순환고속도로,100번,1.0,37.673427000000004,127.095804,7800,1800,8400.0,2400.0,8700.0,1,2,1,빨간색+노란색+녹색,2,3단13열,15
392,수락터널일산,서울특별시,노원구,11350,1,외곽순환고속도로,100번,2.0,37.672853,127.09653600000001,7800,1800,8400.0,2400.0,8700.0,1,2,1,빨간색+노란색+녹색,2,3단13열,15
