가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
1021,서울특별시,동대문구,11230,3,왕산로,,,37.577274,127.028715,2880,3840,,,,1,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,16단 12열,2012
1022,서울특별시,마포구,11440,3,성산로,,,37.562427,126.901858,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1023,서울특별시,성북구,11290,3,종암로,,,37.595995,127.035369,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1024,서울특별시,성북구,11290,3,동소문로,,,37.589725,127.008925,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1025,서울특별시,종로구,11110,3,종로,,,37.570806,126.996276,3840,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 16열,2012
1026,서울특별시,중구,11140,3,세종대로,,,37.568935,126.977319,5760,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 24열,2012
2001,서울특별시,양천구,11470,3,안양천로,,,37.512274,126.874538,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.51853,126.838618,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.5091,126.858446,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.506222,126.883927,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.492255,126.835472,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.497252,126.854691,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
2002,서울특별시,양천구,11470,3,남부순환로,,,37.51393,126.898953,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3001,서울특별시,강남구,11680,3,테헤란로,,,37.505535,127.052387,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3002,서울특별시,강남구,11680,3,남부순환로,,,37.491408,127.05694,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3003,서울특별시,송파구,11710,3,송파대로,,,37.493951,127.117547,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3004,서울특별시,광진구,11215,3,자양로,,,37.534434,127.084211,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3005,서울특별시,송파구,11710,3,송파대로,,,37.483657,127.124038,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3006,서울특별시,강남구,11680,3,양재대로,,,37.490119,127.087062,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3007,서울특별시,송파구,11710,3,올림픽로,,,37.535624,127.12215,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3008,서울특별시,강동구,11740,3,양재대로,,,37.532132,127.137666,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3009,서울특별시,송파구,11710,3,위례성대로,,,37.513954,127.123624,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3010,서울특별시,송파구,11710,3,올림픽로,,,37.511553,127.088334,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3011,서울특별시,송파구,11710,3,송파대로,,,37.517993,127.096339,8160,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 34열,2015
3012,서울특별시,송파구,11710,3,삼전로,,,37.503624,127.087646,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3013,서울특별시,송파구,11710,3,올림픽로,,,37.516477,127.109625,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3014,서울특별시,송파구,11710,3,송파대로,,,37.504216,127.108012,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3015,서울특별시,송파구,11710,3,송파대로,,,37.506912,127.106028,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3016,서울특별시,송파구,11710,3,도곡로,,,37.506189,127.079048,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
3017,서울특별시,송파구,11710,3,오금로,,,37.507369,127.118182,4080,2880,,,,3,2,1,적색+녹색+황색+파랑+핑크+하늘색+흰색,1,12단 17열,2015
국도 목포방향 금천IC,서울특별시,금천구,11545,2,서부간선도로,1번,1,37.462303,126.888781,6000,1200,6400,1600,8000,2,2,1,빨간색+노란색+녹색,2,2단10열,2009
서울방향 금토양재2(LCS),서울특별시,서초구,11650,1,경부고속도로,1번,2,37.440302,127.060505,3000,600,4000,1600,8500,1,2,1,적색+황색+녹색+청색+청녹색+보라색+백색,2,1단10열,2018
