id,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명,sido,gugun,address
1516,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1517,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1518,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1519,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1520,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1521,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동767-62
1522,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1523,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1524,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1525,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1526,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1527,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1528,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1529,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1530,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1531,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1532,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1533,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1534,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1535,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1536,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동399-58
1537,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1538,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1539,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1540,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1541,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1542,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1543,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1544,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1545,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1546,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1547,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1548,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1549,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1550,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1551,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1552,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,행당동345-0
1553,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동794-2
1554,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동794-2
1555,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동794-2
1556,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동794-2
1557,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1558,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1559,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1560,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1561,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1562,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,하왕십리동970-71
1563,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1564,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1565,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1566,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1567,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1568,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1569,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1570,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1571,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1572,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1573,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1574,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1575,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1576,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1577,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1578,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1579,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1580,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1581,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1582,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1583,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1584,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1585,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1586,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1587,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
1588,노상 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,성동구,마장동514-2
